"","EBIT","Operating.Cash.Flow","Operating.Income","EBITDA","Free.Cash.Flow","Gross.Profit","Net.Income.Com","Consolidated.Income","Stock.based.compensation","Dividends.per.Share.Growth","Days.Payables.Outstanding","daysOfInventoryOutstanding","Feature.1","Feature.2","Feature.3","Feature.4","Enterprise.Value"
"354",863234000,1254801000,773687000,1512529000,113456000,1365538000,511047000,530540000,0,0.0609,35.5988,39.6507,2.792489529,0.5151993036,0.5332861543,-0.2436982989,14758059763
"355",1.812e+09,1.467e+09,1.674e+09,2.309e+09,1.083e+09,6.373e+09,1.341e+09,1.358e+09,3.7e+07,0.0941,86.015,67.5442,0.5678264499,-0.3299053609,-0.06398545206,-1.329467535,28576426069
"356",3.248e+09,2.821e+09,2.852e+09,4.42e+09,-4.17e+08,2.852e+09,1.827e+09,1.827e+09,2.6e+07,0.038,46.3693,54.3398,1.272833943,-0.6263600588,0.1474566013,-0.8438485265,41811263790
"357",418600000,5.93e+08,236500000,842200000,490400000,1831500000,1.31e+08,1.31e+08,37700000,0.1875,36.6335,82.7782,-2.126316786,-0.1553768069,1.656653762,-0.2722319365,7955741080
"358",4.896e+09,2.1664e+10,4.834e+09,5.057e+09,2.1664e+10,1.9056e+10,4.074e+09,4.088e+09,0,0.2,0,0,1.328846335,-0.9178553224,-0.04503703862,-1.016268969,42377150000
"359",1743573000,2061503000,1412192000,2227219000,1582634000,2014558000,1488900000,1717223000,69936000,0,0,0,-2.081110954,1.028098941,-0.4920041859,-2.879563808,36344181421
"360",7.671e+09,7.573e+09,7.941e+09,9.027e+09,4.934e+09,1.0982e+10,5.595e+09,5.873e+09,0,0.1355,21.0467,19.7269,0.1615158767,-0.8063035011,0.6282861233,-0.6205317974,47866946404
"361",640400000,644200000,646200000,965300000,289500000,4894400000,537800000,536100000,44900000,0.0133,36.4312,28.5128,1.066540956,-1.0790627,0.1120411828,-0.8836414814,13837815098
"362",491950000,358789000,529021000,738463000,82526000,1479964000,293346000,296007000,52484000,0,42.9489,76.9355,-1.857371926,0.9118208885,-0.06128046662,-2.277242184,5423015732
"363",1.38e+09,3.242e+09,1.377e+09,2.914e+09,-5.41e+08,4.346e+09,9.78e+08,9.75e+08,8.5e+07,3,62.9591,31.5571,-1.045429111,1.363861918,-0.7546554804,-2.891556501,23263173945
"364",2.376e+09,5.483e+09,2.194e+09,3.152e+09,4.663e+09,7.114e+09,2.057e+09,2.057e+09,8.53e+08,0,515.9986,481.32,-0.7175291777,-0.6768547893,1.469501019,0.02946603298,89445215710
"365",1.16e+09,3.908e+09,6.21e+08,2.721e+09,3.124e+09,1.2367e+10,-4.964e+09,-4.964e+09,8.83e+08,0.0818,29.4602,46.8781,1.410826564,0.6342820525,1.086820602,0.05589337274,1.10939e+11
"366",76693000,852520000,69676000,790908000,582685000,1146966000,-40288000,-40288000,68158000,0,26.1693,47.9646,-1.61034596,0.7776382565,-0.5210360289,-2.715035677,8725859339
"367",2144714000,3479139000,1894801000,3178411000,-180889000,4231642000,1811042000,1815792000,46061000,0.2037,18.7698,12.476,-0.7627126575,-0.8477029204,1.200649977,-0.2604953051,30927604565
"368",-195440000,610069000,-195440000,-195440000,610069000,206773000,103552000,103552000,32369000,0.0495,10.8076,213.4512,0.1759743989,-0.1861486882,0.6406580806,-0.6531772614,8588039044
"369",397583000,610327000,380169000,757271000,634581000,815085000,249127000,252325000,12550000,0.0571,73.1993,56.1217,1.215972304,-0.6240112185,0.9965379834,0.09278449416,13612944634
"370",2581700000,2195100000,2534400000,2729900000,1.812e+09,6276700000,2444400000,2444400000,427400000,0,11.8679,122.0075,-0.8682300448,-0.6223871708,1.140286565,-0.3930499852,38324209654
"371",2.082e+09,2.275e+09,1.955e+09,2.544e+09,2.124e+09,5.525e+09,1.695e+09,1.759e+09,0,0.4603,0,0,0.3685505986,0.3298221827,0.5290690064,-0.8129689693,22799183811
"372",591602000,572322000,587220000,657551000,529838000,2410014000,434288000,434288000,44953000,0.1667,10.5739,49.993,0.9027567506,-0.6751167774,0.9964197874,0.001543937251,6672449830
"373",1310655000,1903327000,1304877000,1409390000,1769741000,7181930000,856695000,850917000,99486000,0.25,315.6103,210.34,3.505235434,-0.9992533922,-0.06232003868,-0.5159785748,7331216304
"374",507400000,975100000,498200000,802600000,813500000,3751700000,162800000,162800000,74500000,0,9.7769,24.8793,1.341390491,-0.7779750228,0.294300288,-0.6477129459,7374742213
"375",549667000,505026000,541831000,669627000,442445000,1362164000,315588000,315588000,48412000,0.0606,14.462,75.4396,2.930160284,0.4981884956,0.3297738731,-0.4175968468,14906139897
"376",1403800000,1.3e+09,1.297e+09,1568400000,1.175e+09,2884900000,535500000,535500000,38500000,0.1546,39.0626,65.1645,-0.7885469794,-0.286605835,1.217204452,-0.3046553433,24022724013
"377",1380500000,1430100000,1396400000,1.43e+09,1371500000,3279500000,944400000,944400000,133800000,0.1779,11.6225,61.1849,1.611485839,0.02309760824,-0.01029834524,-1.041983247,32143691208
"378",2048396000,1681338000,2048396000,2361559000,1325896000,4092094000,1362753000,1362753000,87417000,0.1852,27.3683,2.269,-1.634609818,0.870721817,0.07415949553,-2.042745829,28493188169
"379",-1566761000,990690000,-1566761000,-908680000,-32306000,1483102000,-1746481000,-1746481000,29757000,0,25.2786,54.5639,3.000992298,0.7456230521,0.2186564803,-0.596188724,6136127238
"380",1.704e+09,2242800000,1739200000,2818100000,1202600000,3890900000,1036900000,1037600000,3.9e+07,-0.1403,27.6815,40.0846,1.945858598,-0.9739128947,-0.2546883225,-1.127738595,31665291670
"381",3.357e+09,3.428e+09,4.538e+09,3.925e+09,2.609e+09,7.485e+09,2.909e+09,2.882e+09,1.65e+08,0.7832,26.4935,22.2308,0.06439206004,-0.5794821978,0.8583889008,-0.4047551751,45733882950
"382",430541000,850618000,544166000,1102654000,700806000,1396900000,47451000,47451000,42327000,0,6.7119,26.3759,0.07544293255,-0.2518725991,0.3848043084,-0.9753565788,28108254541
"383",5950600000,11937800000,3582100000,7256500000,9961400000,16788800000,4518300000,4.518e+09,250300000,0.26,17.4132,10.2341,0.5898215771,-0.5504311323,0.68652004,-0.464961201,75485278000
"384",4.562e+09,1.2456e+10,4.562e+09,4.868e+09,1.1886e+10,1.0132e+10,3.329e+09,3.507e+09,1.97e+08,0.4375,1244.8978,799.8875,-1.901537895,-0.4447598755,1.851840138,0.05238277838,7359304826
"385",678500000,4.28e+08,656300000,809700000,259400000,1502100000,193100000,193100000,50800000,0,58.9991,42.7801,1.468661785,-0.6494911909,0.3416876197,-0.5975509286,8669771320
"386",1726384000,1943700000,1877548000,2322665000,1692743000,7418562000,1108746000,1108746000,82588000,0.0118,37.457,42.0229,-1.167586684,-0.07509963214,1.540862799,-0.1032644138,46026356687
"387",579900000,1940500000,579900000,783300000,1703100000,2.19e+09,486400000,519300000,16100000,0.1923,13.8342,45.5126,-2.113571882,-0.05256344378,2.323293686,0.4523515701,3465125306
"388",1035100000,1.218e+09,1.044e+09,1448200000,909500000,2836100000,1338600000,1338600000,15400000,0.0582,25.4063,19.1304,-1.243219137,-0.4375922978,1.011772037,-0.6591003537,17598790119
"389",3.16e+09,5.713e+09,2.835e+09,6.716e+09,3.453e+09,4.337e+09,2.138e+09,2.177e+09,3.45e+08,0,113.71,87.6601,4.808845997,1.314024925,0.07092364132,-0.6113148332,63237649305
"390",455931000,441537000,374735000,747846000,126591000,778729000,232312000,270856000,0,0.0478,67.6506,120.6188,0.21326904,-2.024196625,1.653337121,0.6520062089,12053016012
"391",944700000,764500000,9.54e+08,1038800000,674300000,2.144e+09,6.84e+08,696200000,27200000,0.1559,18.0258,117.3919,-1.351300716,-0.1232826486,1.596733212,-0.08570866287,9127540000
"392",363543000,424232000,360225000,572750000,323968000,2385160000,432518000,432518000,140032000,0,67.6338,64.8143,0.3700790107,-1.201023579,0.6822540164,-0.4469213486,13049282220
"393",4.533e+09,6.945e+09,3.9e+09,8.082e+09,-1.006e+09,8.338e+09,2.226e+09,2.3e+09,1.25e+08,0.0348,53.379,61.2709,-1.82389915,-0.5791913271,2.04500556,0.3065516353,90641791001
"394",3292879000,3750796000,2923718000,4642655000,2968887000,4649955000,2436721000,2822343000,0,0.1049,84.9525,49.2747,0.4061773717,-0.6221591234,0.6499050856,-0.5467028618,74751248676
"395",2.652e+09,2.064e+09,2.79e+09,2.858e+09,1.951e+09,4.557e+09,1.958e+09,2.121e+09,9.4e+07,0.2195,12.3066,84.5134,3.808691978,1.077403665,0.2855532169,-0.3803559542,44341946000
"396",-167900000,165700000,-161100000,8.8e+07,34900000,1.376e+09,-253300000,-245600000,24100000,0,23.643,62.7826,1.395383954,-0.3009118736,0.2308854312,-0.7651811838,6072625230
"397",2.071e+09,3.447e+09,1.795e+09,3.62e+09,-3.37e+08,4.414e+09,9.24e+08,1.126e+09,8.3e+07,0.0888,56.9971,69.2085,0.3933788836,-0.522561729,0.9065285921,-0.2721362412,52376299418
"398",3.323e+09,2.569e+09,3.332e+09,4.039e+09,2.224e+09,9.005e+09,2.668e+09,2.784e+09,1.4e+08,0.3636,0,0,-0.202514261,-1.864735007,1.591184735,0.4580717385,37767946194
"399",2.81e+09,1.0457e+10,3.014e+09,3.787e+09,9.848e+09,1.1982e+10,2.41e+09,2.599e+09,0,0.1125,0,97.5709,0.3476487398,-0.8823056817,0.5178248286,-0.6579009295,-1.14767e+11
"400",1.654e+09,2.113e+09,1.634e+09,2.252e+09,1.747e+09,3.364e+09,1.182e+09,1.182e+09,1.12e+08,0,56.3948,38.6409,1.585347533,-0.292232573,-0.04332345724,-1.044277787,19176400514
"401",2658100000,1931400000,2279800000,2951900000,873800000,3812500000,2303400000,2315300000,60900000,0.3,28.5151,37.3749,-2.040034771,3.786752462,1.076241016,-1.534041047,52052556482
"402",1299400000,1260900000,1519100000,1805900000,768800000,4851100000,605200000,605800000,76500000,0.0661,58.296,41.9704,1.042558432,-1.238711119,0.9442527294,0.05675127357,21997635656
"403",1332100000,1260600000,1319300000,1631300000,838300000,1950700000,918400000,918400000,107800000,0.1552,21.6943,61.8839,2.023698807,-0.3706852496,-0.3233141899,-1.238029599,15208015947
"404",3.644e+09,9.342e+09,3.644e+09,3.946e+09,9.342e+09,7.739e+09,2.79e+09,2.79e+09,0,0.2857,0,0,1.019284606,-0.195186168,0.6119415164,-0.465475291,31461446010
"405",2.356e+09,2.61e+09,2.537e+09,2.662e+09,2.038e+09,8.938e+09,3.553e+09,3.553e+09,1.19e+08,0.106,17.3362,62.5822,0.1565365791,-0.6976189613,0.9330283999,-0.2791206241,64813857081
"406",2351707000,2155380000,2314056000,3117205000,1489820000,11085391000,1430766000,1430766000,93841000,0.4227,25.7089,25.3189,1.398248196,-0.4116381109,0.1355548799,-0.8681092262,43181315305
"407",3.2247e+10,4.3602e+10,2.6096e+10,6.0677e+10,2.2844e+10,9.1337e+10,1.937e+10,1.9953e+10,0,0.0204,92.3081,56.5853,-0.2325100005,-0.08037564903,0.1666798294,-1.33347702,3.79015e+11
"408",1647900000,2331300000,1631800000,2505400000,1712100000,4184800000,1116500000,1134600000,42600000,0,91.7245,29.5197,-0.5121414065,-0.4980437756,1.092896938,-0.323399514,20561694281
"409",1644091000,1022173000,1655380000,1773935000,948832000,2177510000,900914000,957062000,58481000,-1,16.6263,67.4533,-2.450180292,0.918423593,1.191015244,-1.048814178,30285828658
"410",2.328e+09,2.451e+09,2.331e+09,2.995e+09,1.539e+09,4.745e+09,2.565e+09,2.565e+09,9.5e+07,0.0909,40.3932,61.6074,-0.1012293547,-0.03684459999,0.5439427495,-0.8836417198,33791977008
"411",4.289e+09,6.935e+09,4.224e+09,6.765e+09,4.433e+09,2.1589e+10,2.914e+09,2.914e+09,1.12e+08,0.0517,43.5556,0,0.8819582462,-1.002757788,0.4196581542,-0.6196734905,49147636370
"412",802500000,932200000,809400000,1009400000,692900000,2610700000,370100000,370100000,2.8e+07,0.1143,38.2874,20.2379,4.047446728,1.185694814,0.1659453064,-0.582408011,12966485670
"413",3888176000,3025624000,3888176000,4614133000,1968007000,10362497000,2607948000,2607948000,101362000,0.2101,25.3245,3.3296,2.993792295,-1.58888495,-1.19441545,-1.831021786,47058893530
"414",3.262e+09,4.543e+09,3.783e+09,5.529e+09,3.835e+09,1.0857e+10,2.938e+09,2.938e+09,1.81e+08,0.1333,24.2005,61.9772,0.3808995187,-0.3814022839,0.6649056673,-0.5794324875,1.0698e+11
"415",670800000,996700000,670800000,931100000,729300000,3848500000,397500000,397500000,81300000,7e-04,16.4064,19.4977,-0.2341239303,-0.4520050287,0.4131925404,-1.02505374,13696707213
"416",1.85e+08,4.05e+08,1.83e+08,3.01e+08,3.44e+08,1.529e+09,1.13e+08,1.13e+08,1.18e+08,0,40.4551,47.9133,4.375810146,-0.5646540523,-1.464242816,-2.030646801,6755724645
"417",2453400000,1619900000,2361400000,2612900000,1451400000,5372600000,1837500000,1768700000,197100000,0.2281,15.5237,37.3383,0.3188422918,-0.2837303281,0.3287250102,-0.9649624228,20792041719
"418",3.313e+09,4.38e+09,3.313e+09,3.313e+09,4.38e+09,1.1991e+10,2.523e+09,2.523e+09,0,0.0707,61.1588,249.0346,0.7975921631,0.01049958635,0.4996129274,-0.6767386794,33925715779
"419",701737000,694394000,701737000,879088000,418080000,2702528000,532357000,532357000,28921000,0.1429,28.6047,0,-1.309274316,0.6825384498,0.5556463599,-1.348307967,10539325426
"420",3.092e+09,2.963e+09,3.032e+09,4.035e+09,1.763e+09,5.096e+09,3.024e+09,3.027e+09,6.9e+07,0.3636,15.4377,15.702,1.281803012,-0.3904393911,0.1774069965,-0.8602308631,31137996978
"421",6.811e+09,7.189e+09,6.713e+09,7.765e+09,6.058e+09,1.0277e+10,5.58e+09,5.58e+09,2.32e+08,0.2406,11.0536,27.9115,1.140792966,-0.965678215,0.6006076336,-0.3306194842,91606335991
"422",1.55e+09,1.125e+09,1.106e+09,1.979e+09,7.56e+08,2.378e+09,1.222e+09,1.222e+09,0,0,28.7099,46.6046,1.866253257,-0.2598569989,0.9529028535,0.1455261707,13850799017
"423",3413106089.17197,628230000,1.58e+08,4790731578.7234,2844743855.62633,2.334e+09,-8e+06,2453998002.12766,209458382.165605,0.420080728051392,39.431,45.8974,0.1435476989,-0.5309732556,0.8656690121,-0.3843332231,52925693519.2237
"424",-33286000,628230000,-25017000,148482000,469130000,2340471000,-46302000,-46302000,41783000,0,39.4214,45.8638,0.3688759506,-0.7207173109,0.4866528809,-0.7204582691,8094065235
"425",3.387e+09,6.181e+09,3.292e+09,5.627e+09,2.004e+09,2.4836e+10,2.129e+09,2.129e+09,0,0,20.8821,12.6017,0.06185746565,0.4380378425,-0.05610832945,-1.562745571,38545445217
"426",337962000,560676000,354718000,773641000,293229000,743869000,199238000,221542000,14244000,0.0433,60.6703,0,1.638804674,-0.6785496473,0.5323607326,-0.3373745382,52925693519.2237
"427",1171303000,1340893000,1175262000,1624379000,675931000,10772278000,779705000,797883000,66581000,0,42.4799,51.1607,0.02254756726,-0.6788974404,1.335202694,0.1548091769,14676654964
"428",786859000,779366000,785291000,1039572000,338652000,2096809000,555234000,555234000,24399000,0,20.2059,6.1853,0.0792613551,-0.7599244714,1.260900021,0.06490776688,12593323720
"429",1.6948e+10,1.5713e+10,1.7344e+10,1.9376e+10,1.365e+10,5.3846e+10,1.1986e+10,1.2382e+10,6.38e+08,0.2,59.0396,29.4424,0.3084335327,-0.2098989636,0.2809276879,-1.048039317,2.5886e+11
"430",795100000,1536500000,795100000,896500000,1392400000,3578100000,523400000,523400000,0,0.1395,0,197.5629,-0.5420117974,-0.04425188527,1.101648688,-0.3882190883,8336030724
"431",8.611e+09,8.686e+09,8.517e+09,1.0802e+10,5.249e+09,1.6786e+10,5.966e+09,5.966e+09,0,0.2339,50.5168,28.056,0.4664563239,-1.347003818,0.9165740013,-0.1525219977,1.22904e+11
"432",6.624e+09,1.2711e+10,7.024e+09,8.831e+09,6.465e+09,6.6702e+10,4.791e+09,4.791e+09,6.34e+08,0.0964,26.3512,45.4999,3.313294888,0.1195532158,-0.4526656568,-1.146093249,1.01501e+11
"433",1.957e+09,2.853e+09,1.951e+09,3.628e+09,1.249e+09,3.364e+09,1.096e+09,1.096e+09,1.02e+08,0,24.3122,70.0789,3.409694672,1.200820446,0.5931521058,-0.1031413451,20019451834
"434",8.65e+09,1.0564e+10,8.678e+09,9.117e+09,1.0564e+10,2.1142e+10,6.784e+09,7.124e+09,0,0.1552,0,0,0.5788877606,-0.4863298237,0.9188151956,-0.1979991049,1.07881e+11
"435",8.933e+09,6.322e+09,6.988e+09,1.1366e+10,4.42e+09,1.6516e+10,5.269e+09,5.269e+09,2.51e+08,0.0423,60.8141,78.3284,2.719465017,-0.1124175563,-0.5402755141,-1.392592669,1.24674e+11
"436",1.3418e+10,1.2941e+10,1.2954e+10,1.4031e+10,1.2237e+10,1.7439e+10,1.0301e+10,1.0301e+10,3.27e+08,0.25,41.6379,49.4129,1.705225945,0.6427143216,-0.2963091135,-1.423020601,3.10175e+11
"437",458500000,454900000,441600000,531200000,407200000,1273600000,149900000,150300000,45900000,0,23.7948,126.2764,-1.030297399,-0.3924239576,1.428741097,-0.1325277239,9742108541
"438",1412184000,-2.43e+08,1.24e+09,1656267000,1260502000,6.156e+09,1.011e+09,1074106000,67762000,0.1504,17.468,42.2168,-0.2323474586,-0.04967576638,0.7037312984,-0.7286035419,30375776065
"439",2.548e+09,1.822e+09,2.548e+09,2.761e+09,1.644e+09,6.064e+09,1.719e+09,1.759e+09,5.7e+07,0,12.2108,88.578,0.7537608147,0.01559034083,0.3515768647,-0.8493332267,21601964726
"440",4.471e+09,4.371e+09,4.572e+09,6.54e+09,2.299e+09,5.594e+09,3.122e+09,3.353e+09,0,0.1429,26.8028,22.9074,4.160615921,0.9442401528,0.1262868941,-0.4471801519,37937388903
"441",759231000,832777000,747713000,1105477000,385899000,1100945000,515805000,515805000,25215000,0.12,18.0276,45.0353,0.5439997315,-0.695951283,0.3777650893,-0.7923439741,15914300221
"442",835536000,802641000,828992000,1308321000,-282717000,1200242000,384832000,422603000,0,-0.9349,72.7018,170.1169,0.9697961211,-0.1124632061,0.4693422318,-0.6263645887,20923144112
"443",849400000,934400000,834100000,1145500000,703400000,1508900000,598700000,598700000,38500000,0,38.2205,54.3134,2.551368952,-0.5747044683,-0.1401482522,-0.845913887,20533980175
"444",844361000,697767000,767392000,892728000,660760000,1022835000,582489000,582489000,52504000,0,64.6526,0,3.884255409,1.167427659,-0.09649953246,-0.7845245004,18441921357
"445",644153000,1270286000,635150000,716573000,1174762000,2638058000,2096896000,2087103000,325047000,0,13.2925,49.0669,-1.666387796,1.146901965,-0.2980971634,-2.521653414,39761829980
"446",812011000,1381467000,885576000,1731650000,1006618000,2054512000,409467000,415981000,29963000,0.0154,105.8252,0,3.506557941,-0.2428487241,-0.6612870693,-1.291627407,31487681117
"447",2.3945e+10,3.4339e+10,2.2278e+10,4.1348e+10,1.7681e+10,7.5355e+10,1.5528e+10,1.6039e+10,0,0.022,62.7593,70.0139,0.3635908067,-0.01718296297,0.2406849712,-1.11512208,3.4262e+11
"448",730787000,604446000,691980000,839195000,508367000,1427365000,593794000,593794000,37541000,0,10.2818,85.7196,-0.745233357,-1.274702907,0.84920156,-0.5837681293,13702556078
"449",6.638e+09,8.263e+09,6.289e+09,8.408e+09,6.896e+09,3.0792e+10,5.024e+09,5.031e+09,1.3e+08,0.0754,37.6441,18.2393,1.507190704,-0.8249416351,0.4651164114,-0.3962559104,81651754516
"450",2.761e+09,4.205e+09,3.617e+09,4.817e+09,3.396e+09,7.705e+09,6.75e+08,6.75e+08,3.77e+08,0,44.6196,38.8388,1.479498267,-2.170402527,1.052912235,0.368588239,29331327942
"451",1675400000,2445500000,1468400000,2521200000,329800000,2314200000,1059300000,1060500000,0,0.0625,41.6545,60.8801,2.480204344,-0.7687321901,0.1734633595,-0.534948349,33567934292
"452",2.8055e+10,3.6073e+10,2.8538e+10,3.3648e+10,3.6073e+10,8.4664e+10,2.0689e+10,2.2876e+10,2.255e+09,0.0649,0,0,0.02127387933,0.2591671348,0.6764002442,-0.7314825654,3.78454e+11
"453",1.47e+08,1.229e+09,2.79e+08,7.92e+08,6.39e+08,3.537e+09,-1.83e+08,-1.59e+08,0,0.0581,77.8512,38.3443,-0.9739032388,0.3131621778,1.005470037,-0.6914280653,11348190349
"454",1.039e+09,1.288e+09,8.09e+08,1.786e+09,9.66e+08,8.513e+09,6.95e+08,7.15e+08,5e+07,0.1321,0,102.0011,1.276426435,-0.3597255945,0.5995192528,-0.3774057627,23274470785
"455",2.752e+09,3.57e+09,2.789e+09,4.229e+09,1.876e+09,5.665e+09,1.925e+09,1.923e+09,8.9e+07,0.0941,25.3792,55.6776,-0.1883551031,-0.5068430305,0.7835117579,-0.559800446,47609621933
"456",1.143e+09,3.293e+09,7.68e+08,2.868e+09,4.41e+08,4.335e+09,-1.56e+08,1.93e+08,5.5e+07,0.1333,27.8183,41.6855,2.08659029,-0.346179992,-0.2782025337,-1.157209992,48938451784
"457",1.6792e+10,2.8337e+10,2.0437e+10,2.7321e+10,1.8664e+10,1.26947e+11,9.862e+09,1.0523e+10,0,0.02,33.6241,4.0954,1.292762637,-0.4887374938,0.1656295806,-0.8639367819,3.55521e+11
"458",1325400000,1931200000,1187200000,2577600000,962500000,3.362e+09,1906100000,1909300000,66800000,0.075,38.4789,45.0661,2.135466814,-0.1426852942,0.0654938966,-0.7773218155,19452420566
"459",1.141e+09,821300000,1122100000,1405700000,632600000,2289100000,851900000,851900000,0,0.0857,285.9131,249.0272,2.87806201,-0.6245114803,-0.2993275523,-1.009983659,10014589365
"460",1.182e+09,1.112e+09,1.394e+09,1.668e+09,6.85e+08,1.81e+09,7.48e+08,7.48e+08,4.2e+07,0.056,10.8387,16.4533,0.9017532468,-0.2957417667,0.2542410791,-0.8766064644,22436512590
"461",456935000,961489000,735544000,1007531000,-640897000,2631385000,572430000,803084000,35040000,0.375,17.4846,15.0313,-0.9116461873,-0.01990867779,1.189997911,-0.3908854425,17959103815
"462",1090731000,1550994000,961009000,1681204000,461604000,1087396000,791851000,791851000,22895000,0.45,42.4043,75.541,-2.231323481,0.6178587079,1.480999589,-0.6076071858,6509760737
"463",2.142e+09,3.122e+09,1.965e+09,3.801e+09,-8.35e+08,4.453e+09,1.261e+09,1.261e+09,4.5e+07,0.0556,39.1354,51.0943,2.941919327,-0.1468642056,-0.3376044333,-1.107517004,42520328011
"464",691379000,820027000,686022000,788133000,770109000,1723604000,463981000,463981000,153815000,0.0606,14.6471,56.5539,1.863028526,-0.1564792842,-0.2916454077,-1.289926887,15858499065
"465",3.1138e+10,3.6014e+10,3.1719e+10,4.9883e+10,1.644e+10,1.01377e+11,2.084e+10,2.1421e+10,0,0.0556,46.872,31.0665,0.09094146639,0.2390475124,0.5757363439,-0.8196459413,3.23457e+11
"466",-921200000,499800000,-958100000,-590400000,326500000,2067800000,-1.011e+09,-1010900000,2.1e+07,0,25.9949,64.2685,0.03616871312,-0.5422404408,1.310366035,0.06625787169,10845748039
"467",6.18e+08,1.14e+09,5.98e+08,1.144e+09,1.05e+09,3.927e+09,3.61e+08,3.74e+08,5.7e+07,0.227,40.5102,176.2991,0.05689015612,-0.0898109749,0.8890216351,-0.3984006941,8854466290
"468",6.67e+08,5.86e+08,6.54e+08,9.28e+08,3.49e+08,2.026e+09,5.49e+08,5.49e+08,3e+07,0.1667,41.0774,72.271,-0.02901000157,-0.02540407144,0.6652444005,-0.6904166341,14002654856
"469",2.291e+09,1.176e+09,2.296e+09,2.428e+09,9.42e+08,2.658e+09,1.542e+09,1.542e+09,5e+07,0.2,58.459,35.9995,1.948260427,0.01827318035,0.09712327272,-0.9076075554,38486783662
"470",18300000,1747400000,33800000,1058800000,1308400000,5.661e+09,-379200000,-379300000,65500000,0,16.6836,58.7007,0.9655191302,-0.1719598025,0.4513438046,-0.661421001,29552322977
"471",1.143e+09,1.176e+09,1.143e+09,1.336e+09,1.047e+09,2.821e+09,8.5e+08,8.84e+08,2.6e+07,1.3636,0,0,0.3071025014,-0.2297615558,0.719428122,-0.5654020905,12354621341
"472",1.9e+09,1.79e+09,1.896e+09,2.208e+09,1.452e+09,3.914e+09,1.428e+09,1.424e+09,5.3e+07,0.2,19.6129,64.9167,0.4004479349,-0.2329349965,0.6370436549,-0.6674464345,45848768446
